Item name,Count
?O La La?Chilli Cheese Sandwich,104.8
?ey Jimmy?Buttery Jim Jam,6.8
?ouble Decker?The Club Veg,30.8
?t? Corny?Corn Cheese Sandwich,107.6
A Clear Sunrise (2 Egg Sunny Side Up),4.2
Americano,7.2
Black Assam Tea,4.8
Boiled Egg ( 02 Pieces),1.4
Buttery Jim Jam Sandwich,1
Cafe Latte,10.2
Cafe Mocha,7.8
Cantonese Style Noodle Puffs,42.8
Cappuccino,48.6
Captain Cold Mocha,17.4
Caremelcino,0.4
Cheese And Corn Sandwich,19
Cheese Corn Nugs 8pcs,22.4
Chicken Popcorn 12pcs,8.4
Chicken Seek Kebab 5pcs,1
Chilli Cheese Poppers,2
Chilli Cheese Poppers 8pcs,18.6
Chilli Cheese Sandwich,22
Chilli Cheese Toast,109.6
Chocolate Chips Cookies,4
Coke Can,0.2
Coke Can (300 Ml),12
Coke Can - 300 ml,21.4
Coke Zero Can,25
Cold Caramel Coffee,21.4
Cold Coffee,133.2
Cold Mocha,13
"Cottage Cheese, Seasoned Veggies, Baked Roll",63
"Crispy Belgian Waffle, Forest Honey, Melted Butter.",0.2
"Crispy Belgian Waffle, Forest Honey, Melted Butter.(Eggless)",33.8
Crunch It,43.6
Crunch It Burger,9
D.F.C Delice Fired Chicken (Signature fired chicken) 4pcs,3.8
Desi Aloo Butter Grilled Sandwich,16.4
Desi Aloo Samosa With Ketchup 5pcs,4.4
Desi Chatpata Aloo Puffs,28.2
Diet Coke Can,53.4
Double Eye Opener,9.4
Egg Kejriwal,1.4
Egg-Cellent Bhurji (2 Egg butter Bhurji),21.6
Egg-Cellent Bhurji (3 Egg butter Bhurji),0.2
"English Soft Pancakes, Berry Compote, French Chantilly Cr?e.(Eggless)",8
"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",26.2
Expresso Double  Eye Opener,3.2
Expresso Single Eye Opener,3.2
Fanta Can,35
Fanta Can - 300 ml,3
Filter Coffee,22.6
Flaky Paneer Tikka Puffs,37.4
French Fries,32
French Fries Peri Peri,154.8
French Fries Salted,57.4
"Fusion Dosa Waffle, Coconut Chutney Quenelle, Flavourful Sambar",0.2
Garlic Bread,47.8
Garlic Bread With Cheese,52.2
Ghar Ke Jaisa (2 Egg Masala Omlette),22.4
Glass of Coke,142.6
Glass of Sprite,37.8
"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.",0.8
"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",21.2
Green Tea,12.6
Hazelnut Frappe 200ml,9.2
Iced Coffee(Black hot Coffee With Ice),32.8
Italian Chicken Discs 5pcs,3.6
Kashmiri Kawah,7.6
Kinley Water Bottle,16.2
Lebanese Falafel Kebab 8pcs,8.8
Lemon Iced Tea,95
"Manchurian Ball, Baked Roll",45
Masala Chaas,21.2
Masala Chai,122.4
Masaledar Paneer Sandwich,46.6
Mexican Pizza Puffets,13.4
"Mini Manchurian Ball, Baked Roll",1.4
Monster Energy Drink,11
Monster Ultra Zero Suger,10.6
Mr. Hazzelnut (Classic Nuttela Grilled with Butter),30
Mr. Robusta Shake (Banana Shake),0.2
Nachos With Salsa,26.6
Naughty Nutella Latte,6.6
Peach Iced Tea,84.6
Pineapple Juice,8.4
Red Bull Green Dragon Fruit,16.8
Red Bull Red Watermelon,0.2
Red Bull Regular,32.2
Red Bull Regular 250ml,1
Red Bull Sugarfree,11.2
Red Bull Sugarfree 250ml,4
Red Bull Yellow Tropical Fruit,7.2
Shikanji,21.4
Single Eye Opener,4.4
Sprite Can (300 ml),2.2
Sprite Can - 300 ml,11.8
Streetology,43.6
Streetology Burger,5
Sweet Lassi,4.8
Swiss Milk Chocolate Cookies,16
TEST -AHD Dont collect,0.6
"TLC 2.0 The Next Level Tomato, Lettuce, Cucumber Plain Sandwich",72.8
Tandoori Chicken Popcorn 12pcs,14
The ?ASIC?Chutney Cheese Plain Sandwich,17.4
The Basic The Chutney Cheese Sandwich,4
The Big B,4.6
The Club Veg Sandwich,8
The Next Level Tomato Cucumber Sandwich,10
The Regnarok Burger,17.4
The Salty Melon Juice,4.2
The Sun Downer (2 Egg Fried Egg),3.4
Thumbs Up  Can - 300 ml,58
Vegetable Puffs,0.2
Veggie Pizza Finger 6pcs,13.4
Veggie Pizza Fingers,7
Water Bottle,69.4
Water Melon Juice,13.8
